State,Year,gini,min_wage,unemployment,GDP (in millions USD),Population,Residents with Bachelor's Degree or Higher,GDP per Capita,% with College Degree,Union Membership %,Adjusted Household Income,Unadjusted Household Income
Kentucky,2010,0.466,7.25,10.266666666666667,164820.3,4346266.0,359930.0,37922.27627117162,8.281361518139938,6.8,41086.0,45018.0
Louisiana,2010,0.475,7.25,7.516666666666667,226161.8,4544228.0,424074.0,49769.02567388784,9.332146186326918,8.9,39085.0,42826.0
Maine,2010,0.437,7.5,8.416666666666666,51724.3,1327567.0,162350.0,38961.7247189784,12.229137964411589,4.3,49158.0,53863.0
Maryland,2010,0.443,7.25,7.825,316316.9,5785982.0,762917.0,54669.527143361316,13.185609633766576,11.6,71836.0,78711.0
Massachusetts,2010,0.475,8.0,8.058333333333334,410187.5,6557254.0,992307.0,62554.767590213836,15.132965720101737,11.6,63656.0,69748.0
Michigan,2010,0.451,7.4,12.191666666666668,386629.8,9877574.0,1023760.0,39142.18207831194,10.36448828426899,14.5,50015.0,54802.0
Minnesota,2010,0.44,5.25,7.391666666666667,272636.0,5310584.0,760013.0,51338.23323385903,14.311288551315638,16.5,61795.0,67709.0
Mississippi,2010,0.468,7.25,10.083333333333334,95265.4,2970036.0,236965.0,32075.503461910896,7.978522819252023,15.6,36641.0,40148.0
Missouri,2010,0.455,7.25,9.508333333333333,257897.4,5996231.0,639352.0,43009.91739644453,10.66256453428829,4.5,49764.0,54527.0
Montana,2010,0.435,4.0,7.183333333333334,38103.2,990898.0,133356.0,38453.201035828104,13.45809558602399,9.9,45088.0,49403.0
Nebraska,2010,0.432,7.25,4.7,91785.5,1830429.0,232326.0,50144.25580014303,12.692434396526716,12.7,52196.0,57191.0
Nevada,2010,0.448,6.55,13.733333333333334,123652.3,2704642.0,256589.0,45718.546114421064,9.486985708274885,9.3,47333.0,51863.0
New Hampshire,2010,0.425,7.25,6.083333333333333,64170.7,1316759.0,185129.0,48733.82296988287,14.059444438959599,15.0,67819.0,74310.0
New Jersey,2010,0.464,7.25,9.658333333333331,494977.8,8801624.0,1321937.0,56237.09897173521,15.01923963123169,10.2,66692.0,73075.0
New Mexico,2010,0.464,7.5,7.774999999999999,84037.9,2065932.0,189989.0,40677.96035881142,9.196285260115047,17.1,43424.0,47580.0
New York,2010,0.499,7.25,8.716666666666667,1212485.1,19392283.0,2433331.0,62524.10301561709,12.547934660400738,7.3,47680.0,52243.0
North Carolina,2010,0.464,7.25,10.716666666666669,415710.0,9561558.0,1123118.0,43477.22410929265,11.746181950682095,24.2,41553.0,45530.0
North Dakota,2010,0.433,7.25,3.6916666666666655,35689.4,674499.0,87414.0,52912.45798733579,12.959841304434846,3.2,55766.0,61103.0
Ohio,2010,0.452,7.3,10.266666666666667,496457.7,11536182.0,1210527.0,43034.835962192694,10.493307057742328,7.4,44375.0,48622.0
Oklahoma,2010,0.454,2.0,6.5,153215.1,3761702.0,376600.0,40730.259866411536,10.01142567912078,13.7,48407.0,53040.0
Oregon,2010,0.449,8.4,10.691666666666668,163827.0,3838957.0,478133.0,42674.872367676944,12.45476310362424,5.5,51775.0,56730.0
Pennsylvania,2010,0.461,7.25,8.166666666666666,599025.1,12709630.0,1445223.0,47131.59234375824,11.371086333748504,16.2,51904.0,56871.0
Rhode Island,2010,0.467,7.4,11.625,49472.4,1052886.0,128188.0,46987.42313982711,12.174917322483156,14.7,56065.0,61431.0
South Carolina,2010,0.461,7.25,11.3,163844.0,4636312.0,484341.0,35339.29554352684,10.446686935650577,16.4,44401.0,48650.0
South Dakota,2010,0.442,7.25,4.908333333333334,37709.2,816463.0,98760.0,46186.04884728395,12.096077838187401,4.6,49415.0,54144.0
Tennessee,2010,0.468,7.25,9.825,255696.1,6356897.0,621127.0,40223.41403360791,9.770914960553869,5.6,42995.0,47110.0
Texas,2010,0.469,7.25,8.191666666666666,1237304.0,25257114.0,2733721.0,48988.33651382339,10.823568361769283,4.7,51926.0,56896.0
Utah,2010,0.419,7.25,7.933333333333334,118098.3,2776469.0,315627.0,42535.42899272421,11.367928113009725,5.4,58341.0,63924.0
Vermont,2010,0.444,8.06,6.316666666666666,27113.3,625960.0,87638.0,43314.748546232986,14.000575116620869,6.5,55582.0,60901.0
Virginia,2010,0.459,7.25,7.291666666666667,423563.9,8024617.0,1075786.0,52783.067403715344,13.406072838118005,11.8,64632.0,70818.0
Washington,2010,0.441,8.55,9.133333333333333,365799.7,6744496.0,897884.0,54236.77321478136,13.312840574002859,4.6,62187.0,68139.0
West Virginia,2010,0.451,7.25,8.633333333333333,65304.7,1853973.0,140850.0,35224.19150656455,7.597198017446856,14.8,43553.0,47721.0
Wisconsin,2010,0.43,7.25,8.5,254615.2,5691047.0,659852.0,44739.60591082801,11.594562476816655,14.2,53079.0,58159.0
Wyoming,2010,0.423,5.15,6.941666666666666,37442.6,564460.0,58232.0,66333.48687240903,10.316408602912517,7.4,57512.0,63016.0
Alabama,2011,0.4735,7.25,9.583333333333334,181929.9,4802740.0,443488.0,37880.439082690296,9.234062222814476,10.0,41381.0,44679.0
Alaska,2011,0.4099,7.75,7.733333333333333,56333.9,722718.0,77153.0,77947.27680782822,10.675394828965102,22.1,61137.0,66010.0
Arizona,2011,0.46,7.35,9.433333333333334,257881.1,6482505.0,719546.0,39781.0877122347,11.099814037937495,6.0,50602.0,54635.0
Arkansas,2011,0.4684,6.25,7.908333333333334,105107.8,2937979.0,254903.0,35775.54502601959,8.676134172504296,4.2,39919.0,43101.0
California,2011,0.4812,8.0,11.891666666666666,2049336.8,37691912.0,4697422.0,54370.73078171253,12.462678995960724,17.1,57528.0,62113.0
Colorado,2011,0.4588,7.36,8.691666666666666,264310.2,5116796.0,789859.0,51655.41092511799,15.43659352454153,8.2,63371.0,68422.0
Connecticut,2011,0.4859,8.25,9.016666666666667,236816.3,3580709.0,500103.0,66136.70644556706,13.966591532570785,16.8,67781.0,73184.0
Delaware,2011,0.4404,7.25,7.608333333333333,60821.8,907135.0,104599.0,67048.23427604491,11.530698297386827,10.5,52219.0,56381.0
Florida,2011,0.4811,7.25,10.0,746535.3,19057542.0,2190780.0,39172.69603813545,11.49560630641664,8.3,47886.0,51703.0
Georgia,2011,0.477,5.15,10.158333333333331,427826.9,9815210.0,1119648.0,43588.1555259643,11.407275035378763,6.3,47439.0,51220.0
Hawaii,2011,0.4301,7.25,6.833333333333333,70630.1,1374810.0,180231.0,51374.44446869022,13.109520588299475,3.9,61408.0,66303.0
Idaho,2011,0.432,7.25,8.166666666666666,56516.4,1584985.0,174646.0,35657.37215178692,11.018779357533353,21.5,51767.0,55893.0
Illinois,2011,0.4718,8.25,9.758333333333333,687951.0,12869259.0,1645334.0,53456.92397674178,12.784994069977145,5.1,57196.0,61755.0
Indiana,2011,0.4461,7.25,8.908333333333333,288942.9,6516922.0,628173.0,44337.32673185287,9.639105700513218,16.2,50553.0,54582.0
Iowa,2011,0.434,7.25,5.65,148102.2,3062309.0,358051.0,48362.918307721404,11.692190435387154,11.3,54855.0,59227.0
Kansas,2011,0.4442,7.25,6.383333333333333,135528.5,2871238.0,365541.0,47202.11281684068,12.731128523654256,11.2,51485.0,55589.0
Kentucky,2011,0.4709,7.25,9.375,170004.7,4369356.0,359975.0,38908.411216664426,8.23862830128742,7.6,42158.0,45518.0
Louisiana,2011,0.4836,7.25,7.433333333333334,229215.1,4574836.0,415415.0,50103.45726054443,9.080434795913996,8.9,39622.0,42780.0
Maine,2011,0.4509,7.5,7.725,51867.1,1328188.0,168605.0,39051.02289736091,12.694362545061392,4.5,50121.0,54116.0
Maryland,2011,0.4466,7.25,7.316666666666666,327726.7,5828289.0,800177.0,56230.344789010975,13.729192220907372,11.3,65262.0,70464.0
Massachusetts,2011,0.4771,8.0,7.225,426013.2,6587536.0,1004133.0,64669.58207135415,15.242922391619567,12.4,62963.0,67982.0
Michigan,2011,0.4612,7.4,10.008333333333333,401069.1,9876187.0,1037602.0,40609.711014989894,10.50609916559903,14.6,48801.0,52691.0
Minnesota,2011,0.4436,5.25,6.525,285408.1,5344861.0,777339.0,53398.60101132657,14.543671014082499,17.5,60907.0,65762.0
Mississippi,2011,0.4735,7.25,9.775,96408.1,2978512.0,240726.0,32367.87362280226,8.082089311710009,15.1,40850.0,44106.0
Missouri,2011,0.4611,7.25,8.641666666666667,259645.0,6010688.0,656222.0,43197.218022296285,10.917585474408254,5.0,50311.0,54321.0
Montana,2011,0.4351,4.0,6.625,40616.4,998199.0,132946.0,40689.68211749361,13.318586774781382,10.9,44132.0,47650.0
Nebraska,2011,0.4467,7.25,4.4,99954.2,1842641.0,225822.0,54245.07541078267,12.255344367133912,13.0,53774.0,58060.0
Nevada,2011,0.4526,7.25,13.316666666666668,126675.6,2723322.0,269461.0,46515.101776433345,9.89456994068274,7.9,45369.0,48985.0
New Hampshire,2011,0.4347,7.25,5.45,65449.6,1318194.0,191748.0,49650.96184628363,14.546265572442296,14.6,71322.0,77007.0
New Jersey,2011,0.4694,7.25,9.375,498959.3,8821155.0,1322225.0,56563.94202346518,14.989250273915378,11.1,61782.0,66707.0
New Mexico,2011,0.4821,7.5,7.216666666666666,86683.3,2082224.0,195527.0,41630.15122292318,9.390296144891233,16.1,42127.0,45485.0
New York,2011,0.5033,7.25,8.358333333333333,1237277.6,19465197.0,2467536.0,63563.579654498244,12.676655674227186,6.8,53843.0,58135.0
North Carolina,2011,0.4716,7.25,10.233333333333333,426569.3,9656401.0,1136478.0,44174.77070390925,11.76916741547912,24.1,41208.0,44493.0
North Dakota,2011,0.4448,7.25,3.358333333333333,41437.5,683932.0,86615.0,60587.163636150966,12.664270716971862,2.9,52888.0,57104.0
Ohio,2011,0.4594,7.4,8.816666666666666,523355.0,11544951.0,1196897.0,45331.93774490684,10.367276569645034,6.3,46398.0,50096.0
Oklahoma,2011,0.4613,2.0,5.591666666666666,165091.4,3791508.0,396219.0,43542.41109342246,10.45016916751857,13.4,43777.0,47266.0
Oregon,2011,0.4586,8.5,9.608333333333333,170620.6,3871859.0,486317.0,44066.84231011511,12.56029726289103,6.4,56307.0,60795.0
Pennsylvania,2011,0.4611,7.25,7.741666666666667,618555.4,12742886.0,1443083.0,48541.233124113336,11.324616731249106,17.1,53952.0,58252.0
Rhode Island,2011,0.4674,7.4,11.016666666666666,50169.8,1051302.0,134049.0,47721.587136712384,12.750760485569323,14.6,57812.0,62420.0
South Carolina,2011,0.4648,7.25,10.45,170077.9,4679230.0,486569.0,36347.41186049841,10.398484366017485,17.4,43749.0,47236.0
South Dakota,2011,0.4324,7.25,4.6000000000000005,41690.2,824082.0,97956.0,50589.86848396154,11.886681179785507,3.4,54453.0,58793.0
Tennessee,2011,0.4756,7.25,9.108333333333333,267487.6,6403353.0,655551.0,41773.05233679917,10.237620821466503,5.1,42499.0,45887.0
Texas,2011,0.4771,7.25,8.016666666666667,1331138.4,25674681.0,2847501.0,51846.34621166276,11.090696706221978,4.6,53027.0,57254.0
Utah,2011,0.4249,7.25,7.058333333333334,124689.9,2817222.0,322983.0,44259.877283366375,11.464591714816937,5.2,62967.0,67986.0
Vermont,2011,0.4308,8.15,5.566666666666666,28134.6,626431.0,93188.0,44912.52827526096,14.876019864917286,5.8,54842.0,59213.0
Virginia,2011,0.4632,7.25,6.541666666666667,433009.6,8096604.0,1111225.0,53480.397460466134,13.724581318290976,12.0,67620.0,73010.0
Washington,2011,0.4449,8.67,8.525,379796.4,6830038.0,925095.0,55606.777004754586,13.544507365844815,4.6,60106.0,64897.0
West Virginia,2011,0.4721,7.25,7.825,68446.8,1855364.0,150916.0,36891.30542578168,8.134037310198968,13.8,40241.0,43449.0
Wisconsin,2011,0.437,7.25,7.533333333333332,264166.4,5711767.0,668444.0,46249.505625842234,11.702928358247107,13.3,55258.0,59663.0
Wyoming,2011,0.4081,5.15,6.133333333333333,39415.2,568158.0,61815.0,69373.66014383323,10.879896085243894,7.2,55700.0,60140.0
Alabama,2012,0.4726,7.25,8.158333333333333,186553.9,4822023.0,472037.0,38687.890953651615,9.78919013866172,9.2,47320.0,51092.0
Alaska,2012,0.4232,7.75,7.25,57717.5,731449.0,79559.0,78908.44064316172,10.876903242741461,22.4,72472.0,78249.0
Arizona,2012,0.4608,7.65,8.35,268068.2,6553255.0,735758.0,40906.114594960825,11.227367163340967,5.1,52611.0,56805.0
Arkansas,2012,0.4632,6.25,7.266666666666667,107718.8,2949131.0,269141.0,36525.60703475024,9.126112064876061,3.2,39376.0,42515.0
California,2012,0.4822,8.0,10.525,2144089.6,38041430.0,4865203.0,56361.9611565601,12.789222171721725,17.2,60794.0,65640.0
Colorado,2012,0.4579,7.64,8.0,273593.9,5187582.0,818469.0,52740.15909531647,15.777466264629647,7.8,67912.0,73325.0
Connecticut,2012,0.4915,8.25,8.358333333333334,244114.4,3590347.0,503440.0,67991.86819546968,14.022042994730036,14.0,69291.0,74814.0
Delaware,2012,0.4356,7.25,7.066666666666666,61866.7,917092.0,111921.0,67459.64417964609,12.20390102628744,10.4,54091.0,58402.0
Florida,2012,0.4828,7.67,8.666666666666666,768722.9,19317568.0,2329936.0,39793.979242107496,12.061228411361098,8.6,48532.0,52400.0
Georgia,2012,0.4809,5.15,9.041666666666666,443566.1,9919945.0,1140757.0,44714.57251023065,11.499630290288907,5.8,46992.0,50738.0
Hawaii,2012,0.4257,7.25,5.9,73676.7,1392313.0,186586.0,52916.765123934056,13.401153332619892,4.4,64235.0,69355.0
Idaho,2012,0.4302,7.25,7.399999999999999,57780.1,1595728.0,175020.0,36209.2411739344,10.968034652522235,21.6,48467.0,52330.0
Illinois,2012,0.4716,8.25,9.05,720881.5,12875255.0,1684348.0,55989.68719454488,13.082055462202497,4.8,53937.0,58236.0
Indiana,2012,0.4417,7.25,8.225,297816.1,6537334.0,643210.0,45556.20073871092,9.839026122881284,14.6,49455.0,53397.0
Iowa,2012,0.4328,7.25,5.058333333333334,157838.6,3074186.0,368331.0,51343.2173590017,11.98141556821871,9.1,60156.0,64951.0
Kansas,2012,0.4496,7.25,5.716666666666666,140764.1,2885905.0,362899.0,48776.41502405658,12.574876858385844,10.4,47820.0,51632.0
Kentucky,2012,0.4667,7.25,8.2,176323.1,4380415.0,378979.0,40252.6016370595,8.651668848727804,6.8,44879.0,48456.0
Louisiana,2012,0.4859,7.25,6.766666666666667,233481.2,4601893.0,433223.0,50735.903681376345,9.414017231604472,10.0,46425.0,50125.0
Maine,2012,0.445,7.5,7.191666666666666,52866.6,1329192.0,171449.0,39773.48644891031,12.898738481724237,6.2,54957.0,59338.0
Maryland,2012,0.4473,7.25,6.866666666666667,334555.5,5884563.0,795930.0,56853.074731292705,13.525728248639703,11.5,69353.0,74881.0
Massachusetts,2012,0.4813,8.0,6.7,444478.2,6646144.0,1011713.0,66877.6060223793,15.222556116749802,10.6,62529.0,67513.0
Michigan,2012,0.4624,7.4,9.058333333333334,418742.3,9883360.0,1062110.0,42368.41519483252,10.746446552589402,14.4,56567.0,61076.0
Minnesota,2012,0.4441,5.25,5.65,296272.5,5379139.0,807626.0,55078.05245411951,15.014038492033762,16.6,64324.0,69451.0
Mississippi,2012,0.487,7.25,8.825000000000001,99616.3,2984926.0,249319.0,33373.12214775174,8.352602376072305,14.2,32338.0,34916.0
Missouri,2012,0.4608,7.25,7.191666666666666,268861.9,6021988.0,670388.0,44646.7013883123,11.13233702890142,4.3,46303.0,49994.0
Montana,2012,0.4502,4.0,5.8,42041.6,1005141.0,138862.0,41826.569605657314,13.815176179262412,8.9,43201.0,46644.0
Nebraska,2012,0.4339,7.25,3.883333333333333,102605.3,1855525.0,233054.0,55297.18004338395,12.560003233586182,13.9,57623.0,62216.0
Nevada,2012,0.4516,7.25,11.608333333333334,127789.1,2758931.0,272846.0,46318.3385158962,9.889555048676462,6.0,51846.0,55979.0
New Hampshire,2012,0.4298,7.25,5.466666666666666,67635.7,1320718.0,201804.0,51211.31081729786,15.279870494685465,14.7,69099.0,74607.0
New Jersey,2012,0.4718,7.25,9.383333333333336,519569.0,8864590.0,1359609.0,58611.735004100585,15.337528300801278,10.5,63754.0,68836.0
New Mexico,2012,0.4713,7.5,6.966666666666666,87644.8,2085538.0,202552.0,42025.03143073873,9.712218142273121,16.1,40166.0,43368.0
New York,2012,0.5009,7.25,8.625,1323400.8,19570261.0,2531374.0,67623.0531621423,12.934799387703618,6.5,49966.0,53949.0
North Carolina,2012,0.4691,7.25,9.516666666666667,439539.7,9752073.0,1170056.0,45071.41199619814,11.998023394615688,23.2,46337.0,50030.0
North Dakota,2012,0.4597,7.25,2.9333333333333336,51624.6,699628.0,89629.0,73788.64196401516,12.810950962511505,2.9,59152.0,63867.0
Ohio,2012,0.4615,7.7,7.408333333333334,540882.4,11544225.0,1240747.0,46853.07155742373,10.747772154475506,6.1,50748.0,54793.0
Oklahoma,2012,0.4643,2.0,5.116666666666666,173238.8,3814820.0,393930.0,45412.0508962415,10.326306352593308,12.6,46162.0,49841.0
Oregon,2012,0.4565,8.8,8.808333333333334,174427.6,3899353.0,497130.0,44732.44663922451,12.749038109655627,7.5,48999.0,52905.0
Pennsylvania,2012,0.4642,7.25,7.658333333333334,640663.1,12763536.0,1484305.0,50194.797115783585,11.62926167168722,15.7,55156.0,59552.0
Rhode Island,2012,0.4647,7.4,10.216666666666669,51607.4,1050292.0,132903.0,49136.240207485156,12.653909579431243,13.5,56323.0,60812.0
South Carolina,2012,0.4684,7.25,9.033333333333331,175328.5,4723723.0,504036.0,37116.59214564444,10.670312378604757,17.8,43563.0,47035.0
South Dakota,2012,0.4335,7.25,4.058333333333333,43550.7,833354.0,98719.0,52259.543963309705,11.845986219541755,3.3,53413.0,57670.0
Tennessee,2012,0.4732,7.25,7.958333333333333,283482.0,6456243.0,680286.0,43908.198622635486,10.536871056433284,5.6,43361.0,46817.0
Texas,2012,0.4767,7.25,6.708333333333333,1410447.8,26059203.0,2903294.0,54124.74817437817,11.141146565380376,4.8,51406.0,55503.0
Utah,2012,0.4244,7.25,4.775,128764.2,2855287.0,333947.0,45096.76260214823,11.69574196919609,5.7,61047.0,65913.0
Vermont,2012,0.4392,8.46,4.816666666666667,28893.6,626011.0,95120.0,46155.09951103095,15.194621180777974,5.2,65513.0,70735.0
Virginia,2012,0.4661,7.25,5.95,445120.7,8185867.0,1132326.0,54376.732482948966,13.832694814122926,10.7,65907.0,71160.0
Washington,2012,0.4498,9.04,7.641666666666667,400623.3,6897012.0,944631.0,58086.50180686941,13.69623541324852,4.4,63922.0,69017.0
West Virginia,2012,0.4638,7.25,7.258333333333333,69335.6,1855413.0,147257.0,37369.36196954533,7.936615729220395,12.1,43069.0,46502.0
Wisconsin,2012,0.4401,7.25,6.925,274540.5,5726398.0,688002.0,47942.9651938269,12.014568320259961,11.2,51726.0,55849.0
Wyoming,2012,0.4166,5.15,5.5,38437.7,576412.0,64409.0,66684.42017168275,11.174125451933687,6.7,67441.0,72817.0
Alabama,2013,0.4752,7.25,7.325,192166.5,4833722.0,476016.0,39755.38932524461,9.847814996394083,10.7,42278.0,44888.0
Alaska,2013,0.4083,7.75,6.991666666666667,56625.3,735132.0,84038.0,77027.3909991675,11.431688458671369,23.1,67629.0,71804.0
Arizona,2013,0.4681,7.8,7.816666666666666,275007.5,6626624.0,741982.0,41500.39296027661,11.196983562067201,5.0,49254.0,52294.0
Arkansas,2013,0.4685,6.25,7.041666666666667,112764.6,2959373.0,262755.0,38104.22004931451,8.878738840963948,3.5,44922.0,47695.0
California,2013,0.4903,8.0,9.033333333333331,2261510.6,38332521.0,4905468.0,58997.178922826395,12.797144231656457,16.4,60487.0,64221.0
Colorado,2013,0.4614,7.78,6.75,288383.5,5268367.0,837913.0,54738.68847785281,15.904605734566326,7.6,60940.0,64702.0
Connecticut,2013,0.4994,8.25,7.95,244127.5,3596080.0,508487.0,67887.11597072368,14.140035816778271,13.5,70161.0,74492.0
Delaware,2013,0.4513,7.25,6.608333333333333,61007.5,925749.0,108075.0,65900.69230428549,11.674330731116102,10.3,57522.0,61073.0
Florida,2013,0.4843,7.79,7.533333333333334,800886.0,19552860.0,2409162.0,40960.04369693232,12.321276785084127,9.3,46140.0,48988.0
Georgia,2013,0.4837,5.15,8.141666666666667,459578.7,9992167.0,1149847.0,45993.8970195354,11.507483812069994,5.4,49555.0,52614.0
Hawaii,2013,0.44,7.25,4.758333333333334,75807.8,1404054.0,199229.0,53992.082925585484,14.189553963024215,5.3,71223.0,75619.0
Idaho,2013,0.4376,7.25,6.816666666666666,61155.2,1612136.0,185216.0,37934.26857287474,11.488857019507039,22.1,53438.0,56737.0
Illinois,2013,0.4824,8.25,9.075,734808.5,12882135.0,1698605.0,57040.89423065354,13.18574133868338,4.7,54916.0,58306.0
Indiana,2013,0.4554,7.25,7.5,308725.4,6570902.0,655276.0,46983.71699958392,9.972390396326105,15.8,48060.0,51027.0
Iowa,2013,0.4429,7.25,4.7250000000000005,161583.0,3090416.0,370188.0,52285.193967414096,11.978581524299642,9.3,57810.0,61379.0
Kansas,2013,0.4589,7.25,5.3,143065.8,2893957.0,374418.0,49436.0489806863,12.937925477123539,10.1,53444.0,56743.0
Kentucky,2013,0.4721,7.25,7.916666666666667,182470.7,4395295.0,392610.0,41515.006387512105,8.932506236782741,7.5,42786.0,45427.0
Louisiana,2013,0.4914,7.25,6.416666666666667,228688.3,4625470.0,453347.0,49441.09463470739,9.801101293490175,11.2,42406.0,45024.0
Maine,2013,0.4532,7.5,6.683333333333334,53670.7,1328302.0,172498.0,40405.495135895304,12.98635400684483,4.3,51710.0,54902.0
Maryland,2013,0.4555,7.25,6.516666666666667,340706.2,5928814.0,814992.0,57466.16439645433,13.746290573460392,11.1,76165.0,80867.0
Massachusetts,2013,0.4837,8.0,6.641666666666667,455653.3,6692824.0,1037415.0,68080.87288714001,15.500407600737745,11.6,63151.0,67049.0
Michigan,2013,0.4641,7.4,8.725,433755.8,9895622.0,1089029.0,43833.10114311157,11.005159655451674,13.7,52005.0,55215.0
Minnesota,2013,0.4462,5.25,5.041666666666667,308784.5,5420380.0,813237.0,56967.31594463857,15.003320800386689,16.3,67244.0,71395.0
Mississippi,2013,0.4791,7.25,8.491666666666665,101474.2,2991207.0,248488.0,33924.165061127496,8.307281976807355,14.3,35521.0,37714.0
Missouri,2013,0.4605,7.35,6.775,277394.2,6044171.0,685991.0,45894.4990140087,11.349629254367555,3.7,56630.0,60126.0
Montana,2013,0.462,4.0,5.341666666666666,43136.8,1015165.0,135518.0,42492.40271285949,13.349357001078644,8.6,51102.0,54256.0
Nebraska,2013,0.4445,7.25,3.675,106516.8,1868516.0,238160.0,57006.094676202934,12.745943839924303,13.0,56870.0,60380.0
Nevada,2013,0.4543,7.25,9.966666666666669,130686.6,2790136.0,282283.0,46838.79208755415,10.117177083841074,7.3,49875.0,52954.0
New Hampshire,2013,0.4387,7.25,5.25,69495.5,1323459.0,202495.0,52510.504669959555,15.30043620542835,14.6,73397.0,77928.0
New Jersey,2013,0.48,7.25,8.375,537346.4,8899339.0,1374616.0,60380.48443822626,15.4462707848302,9.6,65243.0,69270.0
New Mexico,2013,0.4759,7.5,6.908333333333334,88533.0,2085287.0,204226.0,42456.02643664877,9.793663893747,16.0,46686.0,49568.0
New York,2013,0.5098,7.25,7.791666666666667,1361962.9,19651127.0,2589891.0,69307.11403982072,13.179350985823868,6.2,54310.0,57662.0
North Carolina,2013,0.4765,7.25,7.733333333333333,455266.8,9848060.0,1211484.0,46229.08471313131,12.301752832537575,24.4,46784.0,49672.0
North Dakota,2013,0.455,7.25,2.891666666666666,53733.4,723393.0,93470.0,74279.6792338328,12.921053977575122,3.0,60730.0,64479.0
Ohio,2013,0.4652,7.85,7.458333333333333,560936.8,11570808.0,1279678.0,48478.61964350286,11.059538797981956,6.4,49644.0,52708.0
Oklahoma,2013,0.4619,2.0,5.116666666666666,181858.2,3850568.0,402956.0,47228.928303564564,10.464845705880276,12.6,47199.0,50113.0
Oregon,2013,0.46,8.95,7.75,179389.5,3930065.0,521031.0,45645.42825627566,13.25756698680556,7.5,58875.0,62509.0
Pennsylvania,2013,0.4696,7.25,7.1000000000000005,663334.5,12773801.0,1540228.0,51929.296534367495,12.057710935061538,13.9,55173.0,58579.0
Rhode Island,2013,0.4769,7.75,9.475,52797.5,1051511.0,142598.0,50211.07720223564,13.561246625094745,12.7,58633.0,62252.0
South Carolina,2013,0.4665,7.25,7.425,182837.0,4774839.0,529944.0,38291.762298163354,11.098677882123354,16.9,44929.0,47702.0
South Dakota,2013,0.4427,7.25,3.7,44956.5,844877.0,104240.0,53210.70404331044,12.337890604194456,3.7,53053.0,56328.0
Tennessee,2013,0.4783,7.25,7.725,293265.3,6495978.0,681475.0,45145.673215026276,10.490722105278067,4.8,43716.0,46415.0
Texas,2013,0.4807,7.25,6.3,1500554.3,26448193.0,3044921.0,56735.60760842905,11.51277518278848,6.1,53875.0,57201.0
Utah,2013,0.4259,7.25,4.208333333333333,134529.5,2900872.0,348502.0,46375.53811405674,12.013697950133615,4.8,63383.0,67296.0
Vermont,2013,0.4537,8.6,4.416666666666667,28966.0,626630.0,93427.0,46225.04508242504,14.909436190415395,3.9,60708.0,64455.0
Virginia,2013,0.4672,7.25,5.55,455166.9,8260405.0,1172309.0,55102.24982915487,14.191907055404668,10.9,66155.0,70239.0
Washington,2013,0.4572,9.19,6.633333333333333,419671.3,6971406.0,984473.0,60198.946955606945,14.12158465595032,5.0,59068.0,62714.0
