State,Residents with Bachelor's Degree or Higher,Year
Arizona,835779,2016
Arkansas,282608,2016
California,5426164,2016
Colorado,934273,2016
Connecticut,541369,2016
Delaware,121717,2016
Florida,2675907,2016
Georgia,1270275,2016
Hawaii,211850,2016
Idaho,203363,2016
Illinois,1813840,2016
Indiana,716293,2016
Iowa,398242,2016
Kansas,390861,2016
Kentucky,419081,2016
Louisiana,473299,2016
Maine,181434,2016
Maryland,860491,2016
Massachusetts,1124295,2016
Michigan,1162737,2016
Minnesota,860125,2016
Mississippi,264865,2016
Missouri,729511,2016
Montana,148944,2016
Nebraska,261931,2016
Nevada,308547,2016
New Hampshire,213461,2016
New Jersey,1460518,2016
New Mexico,215691,2016
New York,2749619,2016
North Carolina,1345615,2016
North Dakota,107578,2016
Ohio,1362205,2016
Oklahoma,432922,2016
Oregon,572508,2016
Pennsylvania,1676971,2016
Rhode Island,151195,2016
South Carolina,591086,2016
South Dakota,111002,2016
Tennessee,756055,2016
Texas,3362678,2016
Utah,381130,2016
Vermont,92871,2016
Virginia,1241751,2016
Washington,1098509,2016
West Virginia,162243,2016
Wisconsin,758503,2016
Wyoming,67845,2016
Alabama,528019,2017
Alaska,86444,2017
Arizona,863062,2017
Arkansas,301294,2017
California,5616449,2017
Colorado,994894,2017
Connecticut,533791,2017
Delaware,121442,2017
Florida,2839500,2017
Georgia,1311611,2017
Hawaii,216993,2017
Idaho,202800,2017
Illinois,1829903,2017
Indiana,753268,2017
Iowa,406630,2017
Kansas,403542,2017
Kentucky,423916,2017
Louisiana,482439,2017
Maine,193860,2017
Maryland,889090,2017
Massachusetts,1146586,2017
Michigan,1201375,2017
Minnesota,888880,2017
Mississippi,265220,2017
Missouri,743797,2017
Montana,157326,2017
Nebraska,263330,2017
Nevada,340110,2017
New Hampshire,216750,2017
New Jersey,1506899,2017
New Mexico,211995,2017
New York,2794920,2017
North Carolina,1406739,2017
North Dakota,108045,2017
Ohio,1381934,2017
Oklahoma,437243,2017
Oregon,609160,2017
Pennsylvania,1697397,2017
Rhode Island,149699,2017
South Carolina,607024,2017
South Dakota,109803,2017
Tennessee,790840,2017
Texas,3510311,2017
Utah,416804,2017
Vermont,98774,2017
Virginia,1270190,2017
Washington,1130392,2017
West Virginia,156378,2017
Wisconsin,782676,2017
Wyoming,67312,2017
Alabama,536086,2018
Alaska,89635,2018
Arizona,898032,2018
Arkansas,296422,2018
California,5704852,2018
Colorado,1013989,2018
Connecticut,544028,2018
Delaware,124178,2018
Florida,2920459,2018
Georgia,1362317,2018
Hawaii,218828,2018
Idaho,213462,2018
Illinois,1833666,2018
Indiana,771811,2018
Iowa,413442,2018
Kansas,402368,2018
Kentucky,442090,2018
Louisiana,496634,2018
Maine,197489,2018
Maryland,911761,2018
Massachusetts,1178868,2018
Michigan,1239251,2018
Minnesota,920850,2018
Mississippi,284701,2018
Missouri,754906,2018
Montana,152448,2018
Nebraska,269675,2018
Nevada,339675,2018
New Hampshire,217282,2018
New Jersey,1535321,2018
New Mexico,221735,2018
New York,2846770,2018
North Carolina,1454678,2018
North Dakota,110664,2018
Ohio,1431014,2018
Oklahoma,434570,2018
Oregon,621190,2018
Pennsylvania,1723226,2018
Rhode Island,147507,2018
South Carolina,627144,2018
South Dakota,117943,2018
Tennessee,801616,2018
Texas,3627047,2018
Utah,427561,2018
Vermont,103068,2018
Virginia,1296041,2018
Washington,1187508,2018
West Virginia,163614,2018
Wisconsin,775533,2018
Wyoming,66449,2018
Alabama,547975,2019
Alaska,89583,2019
Arizona,931038,2019
Arkansas,307185,2019
California,5889724,2019
Colorado,1057825,2019
Connecticut,549166,2019
Delaware,134287,2019
Florida,2982643,2019
Georgia,1410395,2019
Hawaii,219979,2019
Idaho,220189,2019
Illinois,1886240,2019
Indiana,777771,2019
Iowa,420199,2019
Kansas,414851,2019
Kentucky,453040,2019
Louisiana,503947,2019
Maine,205722,2019
Maryland,911781,2019
Massachusetts,1197208,2019
Michigan,1252685,2019
Minnesota,942830,2019
Mississippi,270712,2019
Missouri,775808,2019
Montana,171309,2019
Nebraska,277159,2019
Nevada,355837,2019
New Hampshire,224636,2019
New Jersey,1555781,2019
New Mexico,221281,2019
New York,2898440,2019
North Carolina,1471420,2019
North Dakota,108527,2019
Ohio,1464945,2019
Oklahoma,447888,2019
Oregon,627911,2019
Pennsylvania,1761627,2019
Rhode Island,156087,2019
South Carolina,656496,2019
South Dakota,121231,2019
Tennessee,845100,2019
Texas,3750797,2019
Utah,448109,2019
Vermont,101015,2019
Virginia,1312800,2019
Washington,1204728,2019
West Virginia,161686,2019
Wisconsin,829878,2019
Wyoming,73183,2019
Alabama,572276,2021
Alaska,101422,2021
Arizona,985673,2021
Arkansas,324137,2021
California,5958030,2021
Colorado,1107309,2021
Connecticut,587690,2021
Delaware,146295,2021
Florida,3248221,2021
Georgia,1514014,2021
Hawaii,226849,2021
Idaho,253762,2021
Illinois,1932282,2021
Indiana,843069,2021
Iowa,441878,2021
Kansas,427464,2021
Kentucky,488546,2021
Louisiana,523475,2021
Maine,224987,2021
Maryland,956533,2021
Massachusetts,1250748,2021
Michigan,1338162,2021
Minnesota,993883,2021
Mississippi,303656,2021
Missouri,823215,2021
Montana,171377,2021
Nebraska,286510,2021
Nevada,393208,2021
New Hampshire,247356,2021
New Jersey,1664353,2021
New Mexico,231745,2021
New York,3105839,2021
North Carolina,1573681,2021
North Dakota,113314,2021
Ohio,1536624,2021
Oklahoma,483168,2021
Oregon,680306,2021
Pennsylvania,1887722,2021
Rhode Island,161594,2021
South Carolina,704740,2021
South Dakota,127258,2021
Tennessee,924404,2021
Texas,4077821,2021
Utah,484882,2021
Vermont,120373,2021
Virginia,1394875,2021
Washington,1287465,2021
West Virginia,179376,2021
Wisconsin,876467,2021
Wyoming,73255,2021
Alabama,609316,2022
Alaska,94168,2022
Arizona,1032052,2022
Arkansas,323961,2022
California,6056169,2022
Colorado,1177891,2022
Connecticut,584999,2022
Delaware,151894,2022
Florida,3445343,2022
Georgia,1519625,2022
Hawaii,226124,2022
Idaho,274409,2022
Illinois,1952990,2022
Indiana,869217,2022
Iowa,463740,2022
Kansas,426910,2022
Kentucky,508620,2022
Louisiana,525044,2022
Maine,229764,2022
Maryland,996167,2022
Massachusetts,1252187,2022
Michigan,1361139,2022
Minnesota,995083,2022
Mississippi,297480,2022
Missouri,835865,2022
Montana,179708,2022
Nebraska,293346,2022
Nevada,390872,2022
New Hampshire,252073,2022
New Jersey,1679895,2022
New Mexico,246178,2022
New York,3097409,2022
North Carolina,1678483,2022
North Dakota,115034,2022
Ohio,1578535,2022
Oklahoma,495467,2022
Oregon,675825,2022
Pennsylvania,1899494,2022
Rhode Island,185883,2022
South Carolina,725469,2022
South Dakota,131481,2022
Tennessee,958365,2022
Texas,4242031,2022
Utah,505215,2022
Vermont,114633,2022
Virginia,1409942,2022
Washington,1302707,2022
West Virginia,188793,2022
Wisconsin,885548,2022
Wyoming,71812,2022
